CDK3	CENPA
CDK1	PRKCB
IL5RA	THPO
RPA2	XAB2
SRGAP2	YWHAZ
CSTF2T	YBX1
SNRNP40	SNRNP48
SRGAP2	YWHAE
SRGAP2	YWHAG
RBMX	RRM2
AKT2	STAT1
AKT2	STAT3
AKT2	STAT4
IGF1R	STAT3
ACTB	CORO1A
NCSTN	YBX1
SRRM2	SYMPK
ELAVL1	RNPS1
HSPA1L	SNCA
HSPA1L	SNCB
AKAP9	NINL
BMPR1A	LITAF
HDAC1	HEXIM1
CALR	P4HB
STK11	YWHAZ
HNRNPH2	LSM2
HNRNPH2	LSM3
HNRNPH2	LSM4
PRKACA	TUBG1
PRKACA	TUBG2
H4C1	HCFC1
RELA	SMARCE1
HGF	HPN
ARHGAP39	RHOBTB1
ARHGAP39	RHOBTB2
ACVR2A	CER1
BET1L	TMED2
SSNA1	TCTN1
BET1L	TMED3
CSDE1	PCNP
SSNA1	TCTN2
CHTOP	MAGOHB
SSNA1	TCTN3
AKAP5	GRIN1
CCND1	CRYAB
AURKB	SEC13
NUP93	SARNP
CCL28	CXCR1
ATAD2	NCOA3
CCL28	CXCR2
CCL28	CXCR3
CCL28	CXCR4
F11R	JAM2
BET1L	TMED7
CCL28	CXCR5
F11R	JAM3
CCL28	CXCR6
BET1L	TMED9
MMP15	NID1
DDX41	NLRC3
OR13G1	REEP1
CSNK2A3	GSK3A
CSNK2A3	GSK3B
RPL12	TRAM1
HBB	HBG2
HNRNPH2	LSM5
HNRNPH2	LSM6
CDC73	SUPT16H
HNRNPH2	LSM7
HNRNPH2	LSM8
KRT19	UBE2I
NUP58	SNUPN
AP2B1	KIF4A
AP2B1	KIF4B
ARFGAP2	TMED9
MAGOHB	NUDT21
LGI3	STX2
DNMBP	DVL1P1
ARFGAP2	TMED2
ARFGAP2	TMED3
HSPA2	MCM2
RELA	SMARCC2
ARFGAP2	TMED7
CCNT2	MED23
HSPA2	MCM5
IGKV2D-30	LAT2
MYBPC3	MYH3
MYBPC3	MYH6
MYBPC3	MYH7
MYBPC3	MYH8
CDC42	DYNC1LI1
IPO9	TSC2
CDC42	DYNC1LI2
GOLGA6C	USO1
CTNNB1	SUV39H1
ALYREF	SYMPK
ALYREF	SLU7
IGHG3	SPI1
CHD7	PBRM1
GNAO1	SSTR1
GNAO1	SSTR2
AVP	HIP1
GNAO1	SSTR3
IL11	IL23R
LGI3	STX3
GNAO1	SSTR4
LGI3	STX4
GNAO1	SSTR5
CASC3	SRSF11
RFC5	YWHAZ
IGHV3-30	NCK1
CCNT2	SUPT4H1
GRAP	PTK2
BBS1	IFT43
POLR2H	XPA
RPS20	TSR1
B2M	TYK2
IK	TOP1
KIF2A	MAPRE1
HSP90AA1	KPNA1
IL3	INPP5D
HSP90AA1	KPNA2
HSP90AA1	KPNA3
HSP90AA1	KPNA4
HSP90AA1	KPNA5
GTF2H5	RNF111
HSP90AA1	KPNA6
HSP90AA1	KPNA7
BUB3	SUZ12
PARP1	PCNA
DHX15	UPF3B
GOT1	GPT2
HSP90AA1	KPNB1
OR6C3	PRKACA
OR6C3	PRKACB
HMGB3	STAT5A
RPL37A	RPSA
HMGB3	STAT5B
MYBPC3	MYL1
MYBPC3	MYL2
MYBPC3	MYL3
MYBPC3	MYL4
COL4A1	DKFZP666O0110
ARRB1	CHUK
C1QBP	GRK5
CBX3	MAX
NUB1	UBA52
BCL3	COPS5
CTR9	KLF16
ACTR3B	WHAMM
RPL37A	RPS3
RPL37A	RPS5
RPL37A	RPS6
RPL37A	RPS7
RPL37A	RPS8
RPL37A	RPS9
CXCR4	FTH1
KLF10	SIN3A
GOSR1	STX2
OR6C3	PRKACG
GOSR1	STX3
GOSR1	STX4
GOSR1	STX5
APOC3	HSPG2
GOSR1	STX7
RPL37A	RPS2
LRP2	PTCH2
CTNNA1	PCDHGA11
DDX21	TICAM1
G7	MSH4
COQ10B	NDUFAB1
HLA-DRA	SLA2
RPS12	SPCS1
ADGRD2	TNFRSF13B
RPS12	SPCS2
RPS12	SPCS3
E2F3	SIN3A
IL15	JAK1
LRP2	PTCH1
PRKCZ	RAP1A
IL15	JAK3
PRKCZ	RAP1B
SRGAP2	YWHAB
HNRNPM	TIAL1
GABPA	TWIST2
GCFC2	LSM2
FBXL19	MIB2
PDCD10	PPP2CA
PDCD10	PPP2CB
PCDHB13	PCDHB18P
SNRNP70	WBP11
ADCY7	PRKACA
ADCY7	PRKACB
EIF4A3	EIF4B
EIF4A3	EIF4E
IFNA5	IFNLR1
ADCY7	PRKACG
AJUBA	LATS2
CENPS	PAFAH1B1
OR2AK2	PRKACA
OR2AK2	PRKACB
ATP6V0A2	ATP6V0E1
OR2AK2	PRKACG
ATP6V0A2	ATP6V0E2
HCLS1	PECAM1
DEFB104A	NFKB1
BCAN	CHPF2
DDX5	SYF2
BLK	IGLV3-1
FGF9	UBB
AP2A2	GRIA1
FGF9	UBC
AP2A2	GRIA2
AP2A2	GRIA3
AP2A2	GRIA4
FAT4	NF2
HSP90AB2P	TRAP1
AJUBA	LATS1
KCNN3	POU3F2
CBX3	MGA
PLCG1	SELE
DDX46	WBP4
ARHGAP40	CDC42
CFTR	SLC26A10
GEMIN7	SNUPN
HGF	HGS
GTF2E2	NABP1
GTF2E2	NABP2
ARNTL	CRTC1
GJA1	MAPRE1
NRG1	SMARCE1
FOXO1	SMAD2
FOXO1	SMAD3
FOXO1	SMAD4
CEP41	HAUS5
CEP41	HAUS6
CEP41	HAUS7
EP300	FOXM1
CEP41	HAUS8
IDE	PEX2
ARF6	TSHR
HUS1	MCM2
IDE	PEX5
GNG4	PRKAB1
PIK3CB	SHC1
GNG4	PRKAB2
PIK3CB	SHC3
CAMK2G	MYO6
NCOR2	VDR
RPS20	TPT1
APOB	PECAM1
PAK5	RPA3
RAD51	RAD54L
HES1	RFC2
HES1	RFC3
EP300	FOXL1
HES1	RFC4
RHOBTB1	TRIP10
DCTN6	USO1
HES1	RFC5
FGF6	RPS27A
PDIA3	PGD
ATP6V1D	WDR59
RAD51	RAD54B
ATF2	BARX2
