B3GQS7	I3L239
B4DUZ8	C9JAM8
E9PDI2	P60709
C9JPV8	O43747
B2RD93	P63261
B3GQS7	I3L0K7
H0YG62	Q99990
Q9H1Y0	Q9UK73
A0A494C1M1	A2RRC9
Q02543	Q9Y3B7
Q00610	Q96FJ2
B7ZA74	Q9BQI9
Q02543	Q9Y2X3
A0A0S2Z5H5	Q9H9H4
P55884	Q24JU4
G3XAN3	Q4G0Z9
Q9NWB1	Q9Y6R0
P61160	Q13285
H0YNF5	O00629
E9PGA7	Q8TAM6
K7ERA0	O14662
P17980	Q5SZW8
P17980	Q5SZX6
P17980	Q5SZX9
B3KXZ2	Q96QB7
P28360	Q04724
P28360	Q04727
A0A0C4DGE4	Q99747
P19235	Q92835
A0A2R8Y6G6	Q2F831
A0A0C4DGE4	Q8WVM8
D6RFN0	Q53GF5
I3L4N8	Q59EM3
P61421	Q6QBN5
P61421	Q6QBN8
K7EJC1	Q9BX72
D6RFN0	Q53GN6
B7ZBM8	H3BV99
A0A494C0R8	B4DU71
G1UI19	Q99741
O75461	Q9UBC3
D6RFN0	Q53HB3
O15120	Q9H221
D6RFN0	Q53HJ0
A0A1W2PQY1	Q92643
B4DHJ7	Q9H1R6
P63208	Q9P2G9
B7ZBM8	H3BU86
E9PN27	Q96SN7
Q6ICN0	Q9C004
A0A494C047	I3L3I0
A0A2R8YD74	Q2PPJ7
Q13547	Q7Z3K6
A0A494C047	I3L3R2
H0YGN4	Q5TBA9
Q3B820	Q8TC44
P51449	Q8WYA1
G1UI19	Q99855
H0YJC4	P28066
H0YJC4	P28070
Q59H56	Q8IXG0
P00338	P08238
P61160	Q13951
O95243	P46100
P62913	Q9Y2X3
B3KXZ2	Q96GW1
I3L4G9	Q53FW2
A0A494C0R8	B4DQX3
B4DMT8	Q9NPL4
P62913	Q9Y2R9
C8YZ26	F6RP06
B3KXZ2	Q96HX7
K7ESB2	X6RJ09
B4DNL7	Q53HU0
A0A087WV74	A0A0S2Z4Q4
M0R2N5	Q2VPJ6
P51965	Q13064
A0A494C0R8	B4DTA5
B4E1H5	Q9H1A4
E5RHH0	Q8N5Z9
O60869	Q9H9S0
P17980	Q5U0A0
C9JEN4	F6V3V1
B4DPI8	P63261
A0A494C0R8	B4DMA2
B7ZBM4	Q6AHY6
P09619	Q15464
P33992	Q92878
O15131	Q6PK50
A0A0G2JIJ9	A8K1U9
B7ZBM8	H3BM38
O00470	Q92826
B7ZBM8	H3BP15
B4DUZ8	C9J0F3
Q92934	Q9UMX3
P09619	Q15654
B7ZBM8	H3BNE1
B3KXZ2	Q96F82
Q14980	Q96R06
P46439	Q03013
E9PI65	P63104
A2IDB2	C9JX95
B4DUZ8	C9J359
J3QQM1	P28066
J3QQM1	P28070
B7ZBM8	H3BR18
B4DKF6	P61266
B7ZBM8	H3BR99
B7ZBM8	H3BQY9
Q13330	Q7Z3K6
H7C5A0	Q59GW7
A0A494C0R8	B4DHT9
B7ZBM8	H3BPJ0
A0A3B3IS01	Q7Z3U5
B4E3E1	Q53R44
P11021	Q04917
Q8TAS0	Q9NP85
A0A2R8YE78	Q6AI38
B4DMT8	Q9NXR1
P62837	P98170
P33992	Q92771
A0A3B3IS01	Q7Z355
B4DV51	F2Z3G4
P09619	Q15262
O60587	P61956
A8K9G2	P45880
O60496	P46109
Q01130	Q8WXA9
H0YJY1	Q2TAB5
B7Z6B5	B7Z8D2
A0A384ME16	B4DZ62
M1VKJ2	Q7RTP8
M1VKJ2	Q7RTQ0
M1VKJ2	Q7RTQ4
M1VKJ2	Q7RTQ1
B3KQ68	B7Z8F3
M1VKJ2	Q7RTQ2
M1VKJ2	Q7RTQ7
M1VKJ2	Q7RTQ8
M1VKJ2	Q7RTQ9
P25788	R4GNH3
B2RPK0	Q08999
Q14653	Q9BYM8
A8K651	E9PI65
P09619	Q13705
F5H5B7	O43809
A0A0F7L0Q8	B3KWT5
A0A0F7L0Q8	B3KWV6
A0A0A0MS15	P01834
A0A3B3ITN6	A0PJ54
A0A494C100	Q92771
P35232	Q5JSD1
P35232	Q5JSD2
K7EIT8	Q9NXL9-4
B4DZF8	I3L4X0
Q01130	Q99590
Q58FG1	Q9HAP0
Q58FG1	Q9HAP1
P24941	P41002
I3L184	Q9P1Q0
F5GZY8	H7C341
A0A0J9YYJ0	H0YIV0
E7ESM3	O00303
B4DHR8	P43686
Q53HU0	Q9Y697
Q5ZPJ1	Q8NFF3
P07948	Q15723
O00212	O60610
B4DI37	Q76L82
B4DI37	Q76L83
B2RBW5	G8JLA2
Q53FT8	Q6IB71
P09619	Q13535
P43699	Q96EB6
H3BUN9	Q6PK37
J3QQM1	P27824
P21980	Q04206
P07948	Q15642
Q4ZG72	R4GMU7
B7Z6B5	B7Z6S4
O00232	Q6MZI6
D3DNA1	G3V5R2
J3QL53	Q96N86
P09619	Q13442
A0A087X101	A0PJH5
H3BRE2	O43633
J3QQM1	P27797
P24864	P62136
C9J911	Q7Z6P5
P61266	Q8NCR1
E5RK27	P14625
E7EN77	Q6NSG3
C9JXG8	Q9BSK3
D3DNA1	G3V3J0
D3DNA1	G3V1L6
A0A1V1FK96	P42345
D3DNA1	G3V281
B2R841	G3V2J8
