J3KQE5	Q6PKD4
A0A1B0GW76	O15400
P50548	Q00653
P98175	Q15428
P98175	Q15427
A0A0S2Z492	C6EMX8
B7Z6M7	G3V4K3
P42226	Q15365
A0A0C4DFP4	B7Z4W4
A0A0C4DFP4	B7Z571
Q75L23	R4GNH3
B4DRV2	B7Z438
O95721	Q6P186
O75586	P10276
P42226	Q15853
Q5TD97	Q9Y4K3
B4DFP5	J3KS13
F8W9Z6	O15400
P06493	P31350
P08631	Q7Z3S9
O95721	Q6P1M3
P49755	Q86Y82
B4DFP5	J3KSQ2
B7Z4C7	P26038
Q12888	Q9NS91
Q8WXK1	Q9GZS3
P0CG47	Q3LXA3
Q2F831	Q8IX28
Q2F831	Q8IX26
Q2F831	Q8IX27
P08123	P22894
B4DJB1	Q6PK37
O15042	Q9H307
P32004	P62491
Q53EL6	Q9Y297
Q5TEC6	Q8N257
P0CG48	Q5T2D3
P04156	Q9HD36
P42766	Q9UHA3
Q58FF7	Q9H6X9
Q58FF7	Q9H173
A0AR27	Q13277
P16234	Q16832
Q15437	Q49AI3
A8K521	G3XAN3
A0AR27	Q13190
P32780	Q01094
O75400	Q10570
Q8NFF5	Q9UHQ1
P50749	Q9NR09
A8K9G2	Q9BSE8
A2IDB2	B4DMT8
P20916	Q92835
Q8NHL6	Q95604
B7ZLZ7	Q6P169
B7Z7C0	H0YDG7
J3QRY4	Q59F65
P55036	Q00610
Q8IZ40	Q92769
A0A140VK41	H7C540
Q5JVF3	Q6P1J9
A0A0C4DFP4	B7ZA74
P62380	Q15542
C9JZG1	Q24JU4
A2IDB2	B4DJB0
O15226	O75530
A2IDB2	B4DJF2
O60341	Q9P2K3
B3KQV6	E9PQN5
O75460	Q86TM6
O60341	Q9P0T4
A2IDB2	B4DHC4
B3KQV6	E9PNY3
B4E1U9	Q9NS63
P48552	Q9UQL6
B2RBP3	Q13564
P33778	Q5QNW6
P42574	P62258
Q8NHL6	Q95460
A2IDB2	B4DE78
Q13507	Q9H1Y3
Q9P0J7	Q9UNM6
D3DWV9	E7EQB8
P60953	Q59FN2
Q9UJA3	Q9UNS1
Q13887	Q9H9S0
Q13257	Q15013
B7ZLZ7	Q6NSG3
Q9UNM6	Q9Y6K9
O43765	Q14653
B4DGL0	Q86SX1
P62917	Q13084
P13010	Q6IC76
Q13887	Q9GZV5
P26599	Q99729
O60832	Q96GQ7
B4DGL0	Q86U12
Q9UNM6	Q9Y4K3
B3KQV6	E9PFR3
P07900	Q2VPJ6
I3L2D5	K7EQA9
B4DRK5	G3V0E4
Q58FF7	Q9HAV0
P26599	Q8WVV9
O94776	Q9NZI6
O60832	Q96HR8
O00622	Q99814
A0A0S2Z476	Q92905
O14497	Q9NZI6
P55036	Q00987
Q9UNM6	Q9Y3C5
Q5VWU8	R4GMM2
P32519	Q9BZS1
P33897	Q6TGM0
P33897	Q6TGM1
P33992	Q96FC9
P09486	P25940
P33992	Q96EB6
B4DR40	H0Y723
B4DSY4	D3DWV9
I3L2D5	K7EKQ2
I3L2D5	K7EL68
A2IDB2	B4DY04
O95677	Q15475
A0A140VK41	Q14558
Q12846	Q6LEU0
B3KRS7	B5BUB1
Q8NHL6	Q8TD07
P28360	Q08117
Q99469	Q9NZQ3
Q13507	Q9HCX4
E9PQY2	P61758
G3XAN3	J3KQ69
O94776	Q9NPF5
H0Y8E6	Q4ZG57
D6RBL4	Q86U44
Q969G3	Q9BZS1
P0CG48	Q5RKV6
Q13601	Q9BVS4
O96028	P10275
O15504	P25398
P0CG47	Q3KQZ1
P42574	P63104
P61966	Q8N2F8
O14522	P49023
P61160	Q16611
Q96NX8	Q9UEU0
B3KUD7	E5RG31
Q8WTR7	Q9H5H4
P27348	Q6ZSZ5
Q03112	Q8WWY6
B3KUD7	E5RFJ8
P63208	Q9UNN5
P63208	Q9UKC9
P32302	P48736
